Unnamed: 0,english_name,primary_type,secondary_type,description,filepath,pokemon_group
0,abomasnow,grass,ice,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards. ,abomasnow.png,abomasnow
1,abomasnow-mega,grass,ice,It blankets wide areas in snow by whipping up blizzards. It is also known as “The Ice Monster.” ,abomasnow-mega.png,abomasnow
2,abomasnow-mega_shiny,grass,ice,It blankets wide areas in snow by whipping up blizzards. It is also known as “The Ice Monster.” ,abomasnow-mega_shiny.png,abomasnow
3,abomasnow_shiny,grass,ice,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards. ,abomasnow_shiny.png,abomasnow
4,abra,psychic,,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,abra.png,abra
5,abra_shiny,psychic,,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,abra_shiny.png,abra
6,absol,dark,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.",absol.png,absol
7,absol-mega,dark,,"Normally, it dislikes fighting, so it really hates changing to this form for battles. ",absol-mega.png,absol
8,absol-mega_shiny,dark,,"Normally, it dislikes fighting, so it really hates changing to this form for battles. ",absol-mega_shiny.png,absol
9,absol_shiny,dark,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.",absol_shiny.png,absol
10,accelgor,bug,,It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.,accelgor.png,accelgor
11,accelgor_shiny,bug,,It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.,accelgor_shiny.png,accelgor
12,aegislash,steel,ghost,"In this defensive stance, Aegislash uses its steel body and a force field of spectral power to reduce the damage of any attack.",aegislash.png,aegislash
13,aegislash-blade,steel,ghost,This stance is dedicated to offense. It can cleave any opponent with the strength and weight of its steel blade. ,aegislash-blade.png,aegislash
14,aegislash-blade_shiny,steel,ghost,This stance is dedicated to offense. It can cleave any opponent with the strength and weight of its steel blade. ,aegislash-blade_shiny.png,aegislash
15,aegislash_shiny,steel,ghost,"In this defensive stance, Aegislash uses its steel body and a force field of spectral power to reduce the damage of any attack.",aegislash_shiny.png,aegislash
16,aerodactyl,rock,flying,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,aerodactyl.png,aerodactyl
17,aerodactyl-mega,rock,flying,The power of Mega Evolution has completely restored its genes. The rocks on its body are harder than diamond. ,aerodactyl-mega.png,aerodactyl
18,aerodactyl-mega_shiny,rock,flying,The power of Mega Evolution has completely restored its genes. The rocks on its body are harder than diamond. ,aerodactyl-mega_shiny.png,aerodactyl
19,aerodactyl_shiny,rock,flying,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,aerodactyl_shiny.png,aerodactyl
20,aggron,steel,rock,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.,aggron.png,aggron
21,aggron-mega,steel,rock,Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokémon vigilantly patrols its territory at all times. ,aggron-mega.png,aggron
22,aggron-mega_shiny,steel,rock,Aggron claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This Pokémon vigilantly patrols its territory at all times. ,aggron-mega_shiny.png,aggron
23,aggron_shiny,steel,rock,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.,aggron_shiny.png,aggron
24,aipom,normal,,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops.",aipom.png,aipom
25,aipom_shiny,normal,,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops.",aipom_shiny.png,aipom
26,alakazam,psychic,,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",alakazam.png,alakazam
